Research,Risk of Bias,,,,Applicability Concerns,,
,Patient Selection,Index Test,Reference Standard,Flow & Timing,Patient Selection	,Index Test        ,Reference Standard
Alsubai et al. (2023),Low,Low,Low,Low,Low,Low,Low
Wang et al. (2024),Low,Low,Low,Low,Low,Low,Low
Zhao et al. (2016),Low,Low,Low,Low,Low,Low,Low
Tang et al. (2021),Low,Low,Low,Low,Low,Low,Low
Kanavati (2022),Low,Low,Unclear,Low,Low,Low,Low
Cheng (2021),Low,Low,Low,Low,Low,Low,Low
Zhu (2021),Low,Low,Low,Low,Low,Low,Low
Holmström et al. (2021),Low,Low,High,Low,Low,Low,High
Deo (2023) ,Low,Low,Low,High,Unclear,Unclear,Low
Göker (2024),High,Low,High,High,High,Low,High
Bhatt et al. (2021),Low,Low,Low,Low,Low,Low,Low
Jiang et al. (2025),Low,Low,Low,Low,Low,Low,Low
Wong et al. (2023),Low,Low,Low,Low,Low,Low,Low
Fang et al. (2024),Low,Low,Low,Low,Low,High,Low
Alzahrani et al. (2024),High,Low,Unclear,Low,High,Low,Unclear
Wang et al. (2020),High,High,Low,High,Low,Low,Low
